# Security incidents report
# Source: sample_access.log
# Generated: 2026-02-21T20:58:39.401264
--------------------------------------------------------------------------------
[FAILED_AUTH] IP=192.168.1.101 14/Mar/2024:10:15:24 -0400 POST /login -> 401 | UA: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64)'
[FAILED_AUTH] IP=192.168.1.120 14/Mar/2024:11:00:08 -0400 POST /login -> 401 | UA: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64)'
[FAILED_AUTH] IP=192.168.1.120 14/Mar/2024:11:00:15 -0400 POST /login -> 401 | UA: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64)'
[FAILED_AUTH] IP=203.0.113.77 14/Mar/2024:11:01:02 -0400 POST /login -> 401 | UA: 'curl/7.68.0'
[FAILED_AUTH] IP=203.0.113.77 14/Mar/2024:11:01:03 -0400 POST /login -> 401 | UA: 'curl/7.68.0'
[FAILED_AUTH] IP=203.0.113.77 14/Mar/2024:11:01:04 -0400 POST /login -> 401 | UA: 'curl/7.68.0'
[FAILED_AUTH] IP=203.0.113.77 14/Mar/2024:11:01:05 -0400 POST /login -> 401 | UA: 'curl/7.68.0'
[FAILED_AUTH] IP=203.0.113.77 14/Mar/2024:11:01:06 -0400 POST /login -> 401 | UA: 'curl/7.68.0'
[SUSPICIOUS_UA] IP=198.51.100.42 14/Mar/2024:11:02:10 -0400 GET /admin -> 403 | UA: '-'
[SUSPICIOUS_UA] IP=198.51.100.42 14/Mar/2024:11:02:12 -0400 GET /phpmyadmin -> 404 | UA: '-'
[SUSPICIOUS_UA] IP=198.51.100.88 14/Mar/2024:11:03:01 -0400 GET / -> 200 | UA: 'sqlmap/1.6.12#stable'
[SUSPICIOUS_UA] IP=198.51.100.88 14/Mar/2024:11:03:03 -0400 GET /login -> 200 | UA: 'sqlmap/1.6.12#stable'
[FAILED_AUTH] IP=198.51.100.88 14/Mar/2024:11:03:05 -0400 POST /login -> 401 | UA: 'sqlmap/1.6.12#stable'
[SUSPICIOUS_UA] IP=198.51.100.88 14/Mar/2024:11:03:05 -0400 POST /login -> 401 | UA: 'sqlmap/1.6.12#stable'
[BRUTE_FORCE] IP=203.0.113.77 had 5 failed login attempts. First: 14/Mar/2024:11:01:02 -0400, Last: 14/Mar/2024:11:01:06 -0400
